Bulath,,Gambiris,
Length,Breadth,Length,Breadth
18,9.1,14.3,10.4
17.4,9.5,13.1,9.7
17.6,9.3,14.4,9.6
17.6,9.1,12,7.9
17.3,8.1,13.5,8
17.2,10.4,12.6,9.3
14.7,10.9,12.9,7.8
16,10.6,8.5,13.1
16.3,9.2,13,10.7
17.1,9.6,12.5,8.2
15.7,11.6,13.5,10.5
16.6,10.4,12.2,9.2
16.5,10.1,14.3,9.7
17.3,9.5,13.5,9.9
15.9,10.4,13.2,9.7
15.2,11.3,11.6,9
16.6,12.1,13.2,9.6
16.5,10.4,12.4,8
15.3,9.8,12,8.9
16.2,9,12.2,9
15.4,9.8,13.8,10.2
15.9,9.7,12.7,8.5
16.9,10.1,14.1,9.6
17.1,10.5,12.2,7.7
16.4,10.8,13.1,8.7
13.1,8,15.2,7.8
15.3,11.4,14.3,7.5
17.4,9.4,13.2,8.2
16.6,10.4,13.5,8
15.4,8.6,13.4,8.5
16.4,10.2,13.5,8.8
15.3,9.1,13,7.5
16.8,11.3,14.5,9.9
15.1,10.2,13.2,7.2
14.7,8.7,14.4,6.8
13.8,9.5,14,7.4
17.1,9.2,13.3,7.2
14.8,9,13.1,6.2
13.7,9.9,15,9.4
14.8,11.3,16.6,8.7
15.9,10.7,14.9,9.3
15.2,9.3,13.5,8
16,10.6,12.7,8.1
16.7,10.7,15.2,8.2
13.3,7.2,13.4,7.3
15.5,10.3,11.5,8.2
17.4,8.5,13.5,7.7
17.6,9.2,13.8,9
16,6.2,13.4,7.6
13.4,12.2,13.3,9
15,6.4,13.8,8.6
11.9,8.4,11.7,7.4
15.9,8,12.2,8
14.5,8.5,11.3,8.1
15,10,12.9,9.1
10.8,7.6,13.3,7.7
17.2,11.5,9.7,5.2
18.7,12.9,10.4,6.2
16.9,11,12,7.5
14.2,8.7,12.8,8
19.3,13,13,8.5
17.1,12.9,12.3,8.5
20.5,12.8,16,10.9
20.1,9.1,13.2,9.4
15.9,8.9,11.5,7.3
13.5,9.8,13.5,8
17.8,11.7,15.1,10.1
15.7,9.2,12.4,7.3
16.7,10,15.2,8.7
15.2,10.3,11.5,7.6
15.2,9.1,14.9,9.3
19.1,9.9,14.3,8.5
19.3,11.9,13.6,8.1
17.4,10.5,14,7.5
17.9,13.4,12.9,8
17.5,13.1,13.1,7.5
16.9,11.1,13.6,8.1
17.7,10.2,14.4,7.5
15.7,9.8,13.8,7.6
18.2,10.1,15.9,9.2
17.2,12.4,12.8,7.7
15.7,10.3,15,8.4
17,10.2,14.6,9.1
18,10.1,12.6,7.5
16.6,10,14.3,9.6
15.8,9.6,14.7,9.1
17.5,9.5,16.2,7.8
16.6,10.5,14.7,8.2
16.6,11.7,13.3,7.1
18,11.9,14,8.4
17,11.1,13.9,7.8
17.7,12.5,15.8,9.4
15,10.9,15.1,8.9
18.4,10.6,15.4,8.4
17,8.5,11.8,7
16.4,11.2,13.1,7.2
18.1,9.4,15.3,8
15.4,10.3,14.5,8.5
16.4,10.5,16.3,9.5
18.1,9.5,13.5,7
18.3,10.5,16.3,9.5
16.5,9.6,15.4,8.6
16.7,9,14.4,8
19.8,9.6,14.8,8
17.1,10.4,13.7,7.7
18,10.2,14.5,9.9
17.4,9.2,11.7,8.1
17.2,9.1,10.1,5.5
17.5,11,14,7.1
17.4,11.6,15.5,7
17.2,10.4,14.1,9.3
16.8,10.1,11,7.3
17.6,10.1,12.7,6.3
14.5,11.2,14.3,8.3
16.1,10.5,15,9
16.5,11.7,11.6,7.3
15.2,10.3,9.5,4.8
15,9.4,14.8,8.6
17.1,10.5,15.5,9.5
14.7,12,16,10.2
16.9,9.9,15.3,11.3
17,11,15,7.3
16.8,9.6,12.8,6.7
17.5,9.7,12.8,8
16.4,9.2,14.6,8
17.3,10.2,13.2,7.7
15.7,9,16,9.3
21.7,10.5,16,8.3
15.3,9.2,15,8.3
17.8,10,9.6,4.3
15.3,9.4,15.5,7.6
17.3,10.4,14.9,7
15.7,10.3,14,7.3
16,9.6,16,8.7
17.3,11.2,13,6.6
14.9,10.6,15.3,9.5
15.1,10.1,13.5,8.6
15.8,11.3,13,6.6
18.2,9.5,14.2,8.6
16.5,9.7,16.1,9.8
17,10.4,15.6,10.5
17.5,9.2,13.3,7.8
16.7,10.5,13.2,7.5
14.8,8.8,9.7,5.9
17.4,9,16.7,10.3
16.9,10.8,14.1,9.5
17.6,11.7,13.4,8.7
15.7,9.9,13.7,9.2
17.3,11.1,14.2,7.3
17.8,10.2,14.3,8.7